id,story,tradition,claim,type,confidence,source,location,status
C-141,7,Haudenosaunee · Onondaga,Ohwachira denotes a woman's offspring and their descendants in the female line; orenda denotes immanent magic potence,SECONDARY SCHOLARSHIP,HIGH,Hewitt's footnotes,"pp. 141 n.a, 255 n.a",
C-142,7,Haudenosaunee · Onondaga,"Hewitt was born in 1859, raised on the Tuscarora reservation in New York, and of Tuscarora descent through his mother, though accounts of her ancestry differ",SECONDARY SCHOLARSHIP,MEDIUM,standard biography; not stated in this source,—,"FLAGGED — stated with its uncertainty in the historical context, and explicitly does not make the report a Haudenosaunee publication"
C-143,7,Haudenosaunee · Onondaga,"The Bureau of American Ethnology was a United States federal body operating during the allotment and boarding-school era, on a cultural-evolutionary theory",SECONDARY SCHOLARSHIP,HIGH,standard history of anthropology,—,
C-144,7,Haudenosaunee · Onondaga,"The Haudenosaunee held territory in what is now New York and, after the American Revolution, the Grand River lands in Ontario where Buck and Newhouse were living",SECONDARY SCHOLARSHIP,HIGH,Hewitt's introduction; standard history,p. 127,
C-145,7,Haudenosaunee · Onondaga,"The earth-diver makes this the only cosmogony so far in which the world is retrieved rather than made, by the smallest animal present, who dies doing it",EDITORIAL INTERPRETATION,—,—,—,MARKED IN TEXT — the story's comparative reading
C-146,7,Haudenosaunee · Onondaga,"The first copy of Hewitt obtained for this book was too degraded by OCR to quote from, and a cleaner scan of the same report was substituted",EDITORIAL INTERPRETATION,—,—,—,"Production fact, recorded in the source note and the source register (correction C-4)"
C-147,8,Cherokee,"The earth is an island in water, suspended by four cords from a solid rock sky vault",PRIMARY SOURCE,HIGH,Mooney 1900,"myth 1, p. 239",
C-148,8,Cherokee,"When the world grows old the cords will break and everything will be water again, and the Indians are afraid of this",PRIMARY SOURCE,HIGH,Mooney 1900,"myth 1, p. 239",
C-149,8,Cherokee,The animals lived above in Galûñ'lati and wanted more room because it was crowded,PRIMARY SOURCE,HIGH,Mooney 1900,"myth 1, p. 239",
C-150,8,Cherokee,"Dâyuni'si, 'Beaver's Grandchild', the little water-beetle, dived and returned with soft mud that grew into the island",PRIMARY SOURCE,HIGH,Mooney 1900,"myth 1, p. 239",
C-151,8,Cherokee,"Mooney identifies the water-beetle as the Gyrinus, locally the mellow bug or apple beetle, and records a variant in which the water-spider helps",SECONDARY SCHOLARSHIP,HIGH,Mooney 1900,"note to myth 1, p. 431",
C-152,8,Cherokee,The earth was fastened to the sky with four cords and no one remembers who did it,PRIMARY SOURCE,HIGH,Mooney 1900,"myth 1, p. 239",
C-153,8,Cherokee,The Great Buzzard's failing wings cut the valleys and raised the mountains of the Cherokee country,PRIMARY SOURCE,HIGH,Mooney 1900,"myth 1, p. 239",
C-154,8,Cherokee,"The buzzard shaping the mountains also occurs among the Creek and Yuchi, though there the crawfish brings up the first earth; among northern peoples a turtle carries the world",SECONDARY SCHOLARSHIP,HIGH,Mooney 1900,"note to myth 1, p. 431",
C-155,8,Cherokee,"The sun was raised a hand-breadth at a time to seven hand-breadths, the 'seventh height', after scorching Tsiska'gili' the Red Crawfish, whom the Cherokee therefore do not eat",PRIMARY SOURCE,HIGH,Mooney 1900,"myth 1, pp. 239-240",
C-156,8,Cherokee,"An underworld exists with reversed seasons, entered through springs at the heads of mountain streams, requiring fasting, going to water and a guide",PRIMARY SOURCE,HIGH,Mooney 1900,"myth 1, p. 240",
C-157,8,Cherokee,"The animals and plants were told to keep awake seven nights; the owl, panther and one or two others succeeded and were given night vision, and the cedar, pine, spruce, holly and laurel were given evergreen leaves and the greatest medicine",PRIMARY SOURCE,HIGH,Mooney 1900,"myth 1, p. 240",
C-158,8,Cherokee,"The first people were a brother and sister; he struck her with a fish, a child came every seven days, and it was then made one child a year",PRIMARY SOURCE,HIGH,Mooney 1900,"myth 1, p. 240",
C-159,8,Cherokee,"Mooney states the Cherokee genesis myth is too far broken down to be recovered except in disjointed fragments, through decay of tradition and admixture of Bible ideas",PRIMARY SOURCE,HIGH,Mooney 1900,"note to myth 1, p. 431","The collector's own assessment, quoted rather than adopted; the source note says it may be right and cannot now be tested"
C-160,8,Cherokee,Myth 1 is a composite: main body from Swimmer and John Ax; evergreens from Ta'gwadihi'; the fish incident from Ayâ'sta; John Ax's divergent Little People version; Wafford's blind first man,PRIMARY SOURCE,HIGH,Mooney 1900,"note to myth 1, p. 431",
C-161,8,Cherokee,Mooney glosses the fish incident as possibly phallic,SECONDARY SCHOLARSHIP,HIGH,Mooney 1900,"note to myth 1, p. 431","Reported as Mooney's own bracketed guess, not as Cherokee interpretation"
C-162,8,Cherokee,"Swimmer was born about 1835, trained as priest, doctor and keeper of tradition, served as a sergeant in a Cherokee Confederate company, wrote in the Cherokee syllabary, spoke no English, and died in March 1899",PRIMARY SOURCE,HIGH,Mooney 1900,pp. 236-237,
C-163,8,Cherokee,"Swimmer supplied nearly three-quarters of the myths in the collection, and Mooney wrote that with him perished half the tradition of a people",PRIMARY SOURCE,HIGH,Mooney 1900,p. 236,
C-164,8,Cherokee,John Ax was born about 1800 and remembered the Creek war,PRIMARY SOURCE,HIGH,Mooney 1900,p. 237,
C-165,8,Cherokee,"Mooney describes the 1838 removal as possibly exceeding any other passage in American history in grief, with troops taking families from their homes, houses burned, and graves robbed",PRIMARY SOURCE,HIGH,Mooney 1900,"historical sketch, pp. 130-132",
C-166,8,Cherokee,Mooney quotes a Georgia volunteer and later Confederate colonel calling the Cherokee removal the cruelest work he ever knew,PRIMARY SOURCE,HIGH,Mooney 1900,p. 130,
C-167,8,Cherokee,Around four thousand Cherokee died as a direct result of the removal,SECONDARY SCHOLARSHIP,HIGH,Mooney 1900,p. 133,"Mooney's own figure, given as an assertion 'probably with reason'"
C-168,8,Cherokee,Tsali surrendered voluntarily and was shot with his brother and two elder sons near the mouth of the Tuckasegee by Cherokee prisoners compelled to do it; the Eastern Band descends from those permitted to remain,PRIMARY SOURCE,HIGH,Mooney 1900,pp. 131-132,
C-169,8,Cherokee,"This is the only cosmogony in the book whose stated motive is overcrowding, and the only one that twice declines to name an agent",EDITORIAL INTERPRETATION,—,—,—,"MARKED IN TEXT — the story's comparative reading, which also states that Mooney read the blank as damage"
C-170,8,Cherokee,Almost every element of the account explains an observable feature of the Cherokee country,EDITORIAL INTERPRETATION,—,—,—,MARKED IN TEXT
C-171,9,Finland · Karelia,"The poem opens by calling a second singer to sing with the first, and instructs them to clasp hands so as to remember better",PRIMARY SOURCE,HIGH,"Kalevala, Proem, trans. Crawford",Proem,
C-172,9,Finland · Karelia,"Ilmatar, Daughter of the Ether, lived alone in the air for ages and her existence was wearisome, sad and hopeless",PRIMARY SOURCE,HIGH,Kalevala Rune I,"Rune I, opening",
C-173,9,Finland · Karelia,She descended to the ocean and the east wind whipped the sea; she conceived from the storm and water,PRIMARY SOURCE,HIGH,Kalevala Rune I,Rune I,
C-174,9,Finland · Karelia,"She swam seven hundred years, called also nine ages of man's existence, unable to rise or give birth",PRIMARY SOURCE,HIGH,Kalevala Rune I,Rune I,
C-175,9,Finland · Karelia,She lamented that it would have been better to remain a maiden in the ether than become a water-mother,PRIMARY SOURCE,HIGH,Kalevala Rune I,Rune I,
C-176,9,Finland · Karelia,"She prayed to Ukko, ruler of the heavens, to come and deliver her, and he does not appear in the poem",PRIMARY SOURCE,HIGH,Kalevala Rune I,Rune I,"The silence is an absence in the text, not a statement in it; the story reports the prayer and then what actually happens next"
C-177,9,Finland · Karelia,A duck searched every direction for a nest site and reasoned aloud that wind and waves would destroy a nest built on air or flood,PRIMARY SOURCE,HIGH,Kalevala Rune I,Rune I,
C-178,9,Finland · Karelia,"Ilmatar raised her shoulders and knee so the duck could nest, and the duck took them for grassy hillocks",PRIMARY SOURCE,HIGH,Kalevala Rune I,Rune I,
C-179,9,Finland · Karelia,The duck laid six golden eggs and a seventh of iron and brooded three days until the knee burned,PRIMARY SOURCE,HIGH,Kalevala Rune I,Rune I,
C-180,9,Finland · Karelia,"The shaken eggs fell and shattered, and the fragments formed earth from the lower half, sky from the upper, moon from the white, sun from the yellow, stars from the motley and cloud from the dark",PRIMARY SOURCE,HIGH,Kalevala Rune I,Rune I,
C-181,9,Finland · Karelia,"In the ninth year, in the summer of the tenth, she raised her head and shaped headlands, fish-holes, deeps, level banks, bays and inlets with her hand, foot, dives, side and head",PRIMARY SOURCE,HIGH,Kalevala Rune I,Rune I,
C-182,9,Finland · Karelia,Resting on her back she made the rocks and the hidden reefs where ships are often wrecked and many lives have perished,PRIMARY SOURCE,HIGH,Kalevala Rune I,Rune I,
C-183,9,Finland · Karelia,Väinämöinen remained unborn thirty summers and thirty winters after the world was made,PRIMARY SOURCE,HIGH,Kalevala Rune I,Rune I,
C-184,9,Finland · Karelia,"He petitioned the Moon, the Sun and the Great Bear to release him and all three refused",PRIMARY SOURCE,HIGH,Kalevala Rune I,Rune I,
C-185,9,Finland · Karelia,"He forced the lock with an unnamed finger, used the toes of his left foot and the fingers of his right hand, and plunged head first into the sea",PRIMARY SOURCE,HIGH,Kalevala Rune I,Rune I,
C-186,9,Finland · Karelia,"He remained in the sea five, six and seven years and came ashore in the autumn of the eighth on a promontory bare of verdure, then stood to look at sun, moon and the Great Bear",PRIMARY SOURCE,HIGH,Kalevala Rune I,Rune I,
C-187,9,Finland · Karelia,"Topelius collected eighty epic fragments from his sickbed by having Karelian traders sing to him, publishing 1822-1831",PRIMARY SOURCE,HIGH,Crawford's preface,preface,
C-188,9,Finland · Karelia,"Lönnrot, born 1802, a physician, collected runes from 1828 in Savo, Karelia and Archangel province by horse, reindeer sledge and canoe",PRIMARY SOURCE,HIGH,Crawford's preface,preface,
C-189,9,Finland · Karelia,Lönnrot arranged the material under the central idea of a great epic and sent the manuscript to the Finnish Literary Society in February 1835,PRIMARY SOURCE,HIGH,Crawford's preface,preface,
C-190,9,Finland · Karelia,"The 1849 second edition contains fifty runes and 22,793 lines and resulted from sifting, arranging and organizing the material",PRIMARY SOURCE,HIGH,Crawford's preface,preface,
C-191,9,Finland · Karelia,Crawford's manuscript was compared against Schiefner's German and Barna's Hungarian translations by named scholars,PRIMARY SOURCE,HIGH,"Crawford's preface, acknowledgements",preface,
C-192,9,Finland · Karelia,How directly Crawford worked from the Finnish rather than through Schiefner's German has been questioned,SECONDARY SCHOLARSHIP,MEDIUM,later criticism of Crawford's translation,—,"FLAGGED — stated as a question raised, not as established fact"
C-193,9,Finland · Karelia,In the Kalevala the world-egg is laid by a duck; in other Finnish traditions by an eagle,PRIMARY SOURCE,HIGH,Crawford's preface,preface,
C-194,9,Finland · Karelia,"Grimm, Steinthal, Uhland, Carrière and Max Müller took up the Kalevala; Grimm contrasted its genuineness with Ossian",PRIMARY SOURCE,HIGH,Crawford's preface,preface,
C-195,9,Finland · Karelia,"Finland was an autonomous Grand Duchy of the Russian Empire from 1809 to 1917, having previously been under Swedish rule; Crawford's preface states the political position incorrectly",SECONDARY SCHOLARSHIP,HIGH,standard history; Crawford's preface for the error,preface,
C-196,9,Finland · Karelia,Swedish was the language of administration and educated life; Finnish was spoken widely and printed almost not at all,SECONDARY SCHOLARSHIP,HIGH,standard history,—,
C-197,9,Finland · Karelia,The Kalevala became the founding text of Finnish national identity in the decades before independence in 1917,SECONDARY SCHOLARSHIP,HIGH,standard history,—,
C-198,9,Finland · Karelia,"This is the only creation in the book produced entirely by accident, the sole deliberate act being Ilmatar raising her knee for the bird",EDITORIAL INTERPRETATION,—,—,—,MARKED IN TEXT — the story's comparative reading
C-199,9,Finland · Karelia,The poem places the drowning of sailors inside the act of creation itself,EDITORIAL INTERPRETATION,—,—,—,MARKED IN TEXT; the quoted lines are the evidence
C-200,10,Ainu · Hokkaidō,"The world began as a slushy quagmire of mixed water and earth, incapable of sustaining life, with land drifting in it",PRIMARY SOURCE,HIGH,Batchelor 1901,ch. III,
C-201,10,Ainu · Hokkaidō,"The clouds already had thunder demons, the skies living creatures, and the Creator dwelt in the highest heavens with hosts of subordinate deities",PRIMARY SOURCE,HIGH,Batchelor 1901,ch. III,
C-202,10,Ainu · Hokkaidō,God made a water-wagtail and sent it down to produce the earth,PRIMARY SOURCE,HIGH,Batchelor 1901,ch. III,
C-203,10,Ainu · Hokkaidō,"The wagtail fluttered over the waters, trampled the mud with its feet and beat it with its tail until dry places appeared and the waters became the ocean",PRIMARY SOURCE,HIGH,Batchelor 1901,ch. III,
C-204,10,Ainu · Hokkaidō,"The Ainu call the world moshiri, 'floating earth', and hold the wagtail in great esteem as the angel of God",PRIMARY SOURCE,HIGH,Batchelor 1901,ch. III,
C-205,10,Ainu · Hokkaidō,"In a second version God cast up the rough ground with mattocks and axes and the wagtail levelled it by hopping, scratching, flapping and tail-waving",PRIMARY SOURCE,HIGH,Batchelor 1901,ch. III,
C-206,10,Ainu · Hokkaidō,The wagtail's present-day tail-beating is explained by this work,PRIMARY SOURCE,HIGH,Batchelor 1901,ch. III,
C-207,10,Ainu · Hokkaidō,"Many Ainu understood the Creator to have used stone hammers, axes and mattocks, because God is never conceived of as working without means",PRIMARY SOURCE,HIGH,Batchelor 1901,ch. III,
C-208,10,Ainu · Hokkaidō,"Sixty mattocks were used and discarded; decomposing, they became demons, bad water, and trees that originate diseases",PRIMARY SOURCE,HIGH,Batchelor 1901,"ch. III, 'How mattocks evolved demons'",
C-209,10,Ainu · Hokkaidō,"The chief demon so produced is Nitat-unarabe, 'aunt of the swamps', whose offspring are called Toihekunra",PRIMARY SOURCE,HIGH,Batchelor 1901,ch. III,
C-210,10,Ainu · Hokkaidō,Batchelor obtained the Yezo legend from an Ainu companion who rebuked him for criticising the west coast as a reflection on God's works,PRIMARY SOURCE,HIGH,Batchelor 1901,ch. III,
C-211,10,Ainu · Hokkaidō,"Yezo was made by two deputy deities racing; the goddess stopped to talk with Aioina's sister, then rushed her half, producing the rugged west coast",PRIMARY SOURCE,HIGH,Batchelor 1901,ch. III,
C-212,10,Ainu · Hokkaidō,"The legend was quoted at women who talked too much, with the moral to set a watch over the lips",PRIMARY SOURCE,HIGH,Batchelor 1901,ch. III,"Reported as the recorded use of the story, neither endorsed nor concealed"
C-213,10,Ainu · Hokkaidō,"In another version Aioina's sister Tureshmat wept on being given the western portion, and this is the origin of tears; nupe is heard as nu (hear) plus pe (water)",PRIMARY SOURCE,HIGH,Batchelor 1901,ch. III,A folk etymology recorded in the source and presented as one
C-214,10,Ainu · Hokkaidō,"A rock near Moruran called mukara-so, 'axe rock', is said to be a deity's axe, unliftable by anyone",PRIMARY SOURCE,HIGH,Batchelor 1901,ch. III,
C-215,10,Ainu · Hokkaidō,Batchelor introduces the chapter by calling Ainu ideas of creation 'absolutely absurd' and an illustration of the depths of intellectual blindness a race may sink into,PRIMARY SOURCE,HIGH,Batchelor 1901,ch. III opening,
C-216,10,Ainu · Hokkaidō,Batchelor suggests the wagtail legend may derive from Genesis 1 and then argues against his own suggestion,PRIMARY SOURCE,HIGH,Batchelor 1901,ch. III,
C-217,10,Ainu · Hokkaidō,Batchelor names no narrators in this chapter beyond 'an Ainu companion',PRIMARY SOURCE,HIGH,Batchelor 1901,ch. III,
C-218,10,Ainu · Hokkaidō,"Japan annexed Ezo in 1869, renamed it Hokkaidō and opened it to settlement; fishing and hunting rights, language and customs were progressively restricted",SECONDARY SCHOLARSHIP,HIGH,standard history,—,
C-219,10,Ainu · Hokkaidō,"The Hokkaidō Former Aborigines Protection Act of 1899 allotted land conditional on agriculture and set up separate schools, with assimilation as its purpose, and remained law until 1997",SECONDARY SCHOLARSHIP,HIGH,standard history,—,
C-220,10,Ainu · Hokkaidō,"Japan recognised the Ainu as an Indigenous people by Diet resolution in 2008, followed by the Ainu Policy Promotion Act in 2019",SECONDARY SCHOLARSHIP,HIGH,standard history,—,
C-221,10,Ainu · Hokkaidō,Batchelor lived among the Ainu for decades and compiled an Ainu-English-Japanese dictionary,SECONDARY SCHOLARSHIP,HIGH,standard biography; the title page identifies him as author of 'The Ainu of Japan',—,
C-222,10,Ainu · Hokkaidō,"This is the only account in the book in which evil is a by-product of construction rather than an opponent, an ancestor or a consequence",EDITORIAL INTERPRETATION,—,—,—,MARKED IN TEXT — the story's comparative reading
C-223,10,Ainu · Hokkaidō,"The wagtail is the only creature in the book that makes the world by manual labour rather than by diving, laying or intending",EDITORIAL INTERPRETATION,—,—,—,MARKED IN TEXT
C-224,11,Epic India,"Nārāyaṇa instructed Brahmā and the gods to churn the Ocean with the Asuras, promising amṛta together with all drugs and gems",PRIMARY SOURCE,HIGH,"Ganguli, Adi Parva",Āstīka Parva XVII,
C-225,11,Epic India,The celestials sat in conclave on the peak of Meru as eager seekers after amṛta,PRIMARY SOURCE,HIGH,"Ganguli, Adi Parva",Āstīka Parva XVII,
C-226,11,Epic India,"Mandara rises eleven thousand yojanas and descends as far, and the gods could not tear it up",PRIMARY SOURCE,HIGH,"Ganguli, Adi Parva",Āstīka Parva XVIII,
C-227,11,Epic India,"Ananta, prince of snakes, tore up the mountain with its woods and the denizens of those woods",PRIMARY SOURCE,HIGH,"Ganguli, Adi Parva",Āstīka Parva XVIII,
C-228,11,Epic India,The gods asked the Ocean's leave and it consented on condition of receiving a share,PRIMARY SOURCE,HIGH,"Ganguli, Adi Parva",Āstīka Parva XVIII,
C-229,11,Epic India,The king of tortoises agreed to hold the mountain on his back and Indra placed it there,PRIMARY SOURCE,HIGH,"Ganguli, Adi Parva",Āstīka Parva XVIII,
C-230,11,Epic India,"Vasuki served as the churning cord, Asuras at the hood and gods at the tail",PRIMARY SOURCE,HIGH,"Ganguli, Adi Parva",Āstīka Parva XVIII,
C-231,11,Epic India,"The stretching produced black vapours and flames from Vasuki's mouth, which became lightning clouds whose rain refreshed the gods, along with falling flowers",PRIMARY SOURCE,HIGH,"Ganguli, Adi Parva",Āstīka Parva XVIII,
C-232,11,Epic India,"A roar came from the deep like the clouds at the Universal Dissolution; aquatic animals were crushed, denizens of the lower regions killed, trees with birds uprooted, and friction fires burned lions and elephants until Indra's rain quenched them",PRIMARY SOURCE,HIGH,"Ganguli, Adi Parva",Āstīka Parva XVIII,
C-233,11,Epic India,"Tree gums and herb juices with the properties of amṛta mixed into the water; the gods who drank became immortal and the milky water turned to clarified butter, but nectar had not appeared",PRIMARY SOURCE,HIGH,"Ganguli, Adi Parva",Āstīka Parva XVIII,
C-234,11,Epic India,"The gods said they were spent up with no strength to churn further, and Nārāyaṇa granted them strength",PRIMARY SOURCE,HIGH,"Ganguli, Adi Parva",Āstīka Parva XVIII,
C-235,11,Epic India,"There emerged in order the Moon, Lakṣmī in white, Soma, the White Steed, the Kaustubha gem, Dhanvantari with the white vessel of nectar, and the elephant Airāvata with two pairs of white tusks",PRIMARY SOURCE,HIGH,"Ganguli, Adi Parva",Āstīka Parva XVIII,
C-236,11,Epic India,On seeing Dhanvantari the Asuras cried 'It be ours',PRIMARY SOURCE,HIGH,"Ganguli, Adi Parva",Āstīka Parva XVIII,
C-237,11,Epic India,"The poison Kālakūṭa arose last, engulfed the earth, blazed with fumes, and stupefied the three worlds by its scent",PRIMARY SOURCE,HIGH,"Ganguli, Adi Parva",Āstīka Parva XVIII,
C-238,11,Epic India,"Śiva, solicited by Brahmā, swallowed the poison for the safety of creation and held it in his throat, and is therefore called Nīlakaṇṭha, blue-throated",PRIMARY SOURCE,HIGH,"Ganguli, Adi Parva",Āstīka Parva XVIII,
C-239,11,Epic India,Nārāyaṇa assumed an enticing female form by māyā and the Danavas placed the amṛta in her hands,PRIMARY SOURCE,HIGH,"Ganguli, Adi Parva",Āstīka Parva XVIII,
C-240,11,Epic India,Rāhu drank the amṛta in the guise of a god; Sūrya and Soma exposed him; Nārāyaṇa cut off his head with the discus when the nectar had reached his throat,PRIMARY SOURCE,HIGH,"Ganguli, Adi Parva",Āstīka Parva XIX,
C-241,11,Epic India,The severed head rose crying to the sky and the trunk fell and made the earth tremble; the quarrel with Sūrya and Soma explains solar and lunar eclipses,PRIMARY SOURCE,HIGH,"Ganguli, Adi Parva",Āstīka Parva XIX,
C-242,11,Epic India,The churning is told as Sauti's answer to Saunaka's question about the origin of the horse Uchchaihsravas,PRIMARY SOURCE,HIGH,"Ganguli, Adi Parva",Āstīka Parva XVII,
C-243,11,Epic India,Ganguli states that a translator should hold the mirror up to his author and refuses to make Hindu ideas agreeable to English taste,PRIMARY SOURCE,HIGH,"Ganguli, Translator's Preface",preface,
C-244,11,Epic India,"The translation was published anonymously by agreement, with two prefaces; an Indian journal accused Pratap Chandra Roy of a great literary imposture and later apologised; Ganguli's name appeared only on completion",PRIMARY SOURCE,HIGH,"Ganguli, Translator's Preface",preface,
C-245,11,Epic India,Ganguli acknowledges assistance from Babu Charu Charan Mookerjee in portions of the Adi and Sabha Parvas,PRIMARY SOURCE,HIGH,"Ganguli, Translator's Preface",preface,
C-246,11,Epic India,"The Mahābhārata is an accreted composite in eighteen parvas, traditionally ascribed to Vyāsa, grown over centuries around a dynastic war narrative",SECONDARY SCHOLARSHIP,HIGH,standard Indology,—,
C-247,11,Epic India,"Ganguli's was the first complete English Mahābhārata; it was Indian-translated, Indian-financed and Calcutta-printed, partly distributed free, and Roy died before completion with his widow seeing the remaining volumes out",SECONDARY SCHOLARSHIP,MEDIUM,standard bibliography,—,FLAGGED — the free distribution and the widow's role are well reported but are not stated in the text used here
C-248,11,Epic India,Max Müller's Sacred Books of the East was in progress at the same period and is the source of this book's Bundahishn,PRIMARY SOURCE,HIGH,the SBE volume itself,SBE V,
C-249,11,Epic India,This is the only primeval water in the book that negotiates terms rather than being killed or ignored,EDITORIAL INTERPRETATION,—,—,—,MARKED IN TEXT — the story's comparative reading
C-250,11,Epic India,Cooperation between gods and Asuras here is a mechanical requirement of the churning rather than a moral position,EDITORIAL INTERPRETATION,—,—,—,MARKED IN TEXT
C-251,11,Epic India,This is the only account in the book in which the poison and the medicine are produced by one and the same process,EDITORIAL INTERPRETATION,—,—,—,MARKED IN TEXT
C-252,12,Norse · Iceland,"Vǫluspá 3 says that where Ymir dwelt there was neither sand nor sea nor cold waves, no earth and no heaven, a chaotic chasm, and grass nowhere",PRIMARY SOURCE,HIGH,"Thorpe, Poetic Edda",Vǫluspá 3,
C-253,12,Norse · Iceland,"Niflheim to the north held ice, rime, drizzle and gusts; Muspelheim to the south threw out sparks; between them Ginnungagap was as warm and mild as windless air",PRIMARY SOURCE,HIGH,"Anderson, Gylfaginning",section 5,
C-254,12,Norse · Iceland,"Heat from Muspelheim melted the rime and the drops quickened into a man named Ymir, called Aurgelmir by the frost-giants",PRIMARY SOURCE,HIGH,"Anderson, Gylfaginning",section 5,
C-255,12,Norse · Iceland,"Venom drops from Élivágar grew until they became a giant, and sparks from the south gave the ice life",PRIMARY SOURCE,HIGH,"Thorpe, Poetic Edda",Vafþrúðnismál 31,
C-256,12,Norse · Iceland,Snorri's Hár denies that Ymir is a god and calls him and all his offspring evil,PRIMARY SOURCE,HIGH,"Anderson, Gylfaginning",section 5,
C-257,12,Norse · Iceland,"Ymir sweated in his sleep and a man and woman grew under his left arm, and one foot begat a son with the other",PRIMARY SOURCE,HIGH,"Anderson, Gylfaginning; Vafþrúðnismál 33",section 5; Vafþrúðnismál 33,Vafþrúðnismál gives the offspring as a six-headed son; the retelling follows the prose and does not merge the two
C-258,12,Norse · Iceland,The cow Auðhumla was formed from the melting rime and four milk-streams from her fed Ymir,PRIMARY SOURCE,HIGH,"Anderson, Gylfaginning",section 6,
C-259,12,Norse · Iceland,"She licked rime-covered salt-stones, producing a man's hair on the first day, his head on the second and the whole man, Búri, on the third",PRIMARY SOURCE,MEDIUM,"Anderson, Gylfaginning",section 6,"FLAGGED — unique to Snorri, with no surviving poetic witness; the source note says so"
C-260,12,Norse · Iceland,"Búri begat Borr, who married Bestla daughter of the giant Bölthorn, and their sons were Óðinn, Vili and Vé",PRIMARY SOURCE,HIGH,"Anderson, Gylfaginning",section 6,
C-261,12,Norse · Iceland,"The sons of Borr killed Ymir and his blood drowned all the frost-giants except Bergelmir, who escaped with his household in an ark",PRIMARY SOURCE,HIGH,"Anderson, Gylfaginning; Vafþrúðnismál 35","section 7; Vafþrúðnismál 29, 35",
C-262,12,Norse · Iceland,"They made the earth of his flesh, the seas and lakes of his blood, the rocks of his bones, and stones and pebbles of his teeth, jaws and broken bones",PRIMARY SOURCE,HIGH,"Anderson, Gylfaginning; Vafþrúðnismál 21",section 8; Vafþrúðnismál 21,
C-263,12,Norse · Iceland,"The free-flowing blood became the ocean, laid around the earth in a ring most men would think impossible to cross",PRIMARY SOURCE,HIGH,"Anderson, Gylfaginning",section 8,
C-264,12,Norse · Iceland,"His skull became the sky raised with four corners, with a dwarf set under each, named East, West, North and South",PRIMARY SOURCE,MEDIUM,"Anderson, Gylfaginning",section 8,FLAGGED — the four named dwarfs are Snorri's and have no surviving poetic witness
C-265,12,Norse · Iceland,"Grímnismál adds that his hair became trees and plants, his brows Midgard for the sons of men, and his brain the clouds",PRIMARY SOURCE,HIGH,"Thorpe, Poetic Edda",Grímnismál 40-41,
C-266,12,Norse · Iceland,"Sparks from Muspelheim were fixed in the sky as lights, some set in place and some given assigned courses",PRIMARY SOURCE,HIGH,"Anderson, Gylfaginning",section 8,
C-267,12,Norse · Iceland,"The sun did not know where her hall was, the moon did not know what might he had, and the stars did not know their resting-places",PRIMARY SOURCE,HIGH,"Thorpe, Poetic Edda; quoted also by Snorri",Vǫluspá 5; Gylfaginning 8,
C-268,12,Norse · Iceland,"The gods in council gave names to night, the waning moon, morning, midday, afternoon and evening, whereby to reckon years",PRIMARY SOURCE,HIGH,"Thorpe, Poetic Edda",Vǫluspá 6,
C-269,12,Norse · Iceland,Iceland adopted Christianity by decision of the Alþing in the year 1000,SECONDARY SCHOLARSHIP,HIGH,standard history,—,
C-270,12,Norse · Iceland,"The Poetic Edda survives chiefly in the Codex Regius, written about 1270; the poems are older but by a disputed margin",SECONDARY SCHOLARSHIP,HIGH,standard Old Norse scholarship,—,
C-271,12,Norse · Iceland,"Snorri Sturluson wrote the Prose Edda in the 1220s, was lawspeaker of the Icelandic assembly, and was killed in 1241 on the orders of the king of Norway",SECONDARY SCHOLARSHIP,HIGH,standard history,—,
C-272,12,Norse · Iceland,"The Prose Edda was written as a handbook for poets, because skaldic kennings require knowledge of the myths",SECONDARY SCHOLARSHIP,HIGH,standard Old Norse scholarship; evident in the work's structure,—,
C-273,12,Norse · Iceland,"Snorri's preface explains the gods as human beings later mistakenly worshipped, and the Gylfaginning ends by revealing the vision as an illusion",PRIMARY SOURCE,HIGH,the Prose Edda itself,Foreword; end of Gylfaginning,
C-274,12,Norse · Iceland,"Anderson was professor of Scandinavian languages at Wisconsin, later US Minister to Denmark, and author of 'America Not Discovered By Columbus'",PRIMARY SOURCE,HIGH,the title page of the volume used,title page,
C-275,12,Norse · Iceland,Norse myth has been repeatedly enlisted for political purposes since the nineteenth century,EDITORIAL INTERPRETATION,—,—,—,"MARKED IN TEXT, stated briefly and without elaboration; the point made is that the versions given here are the thirteenth-century Icelandic ones"
C-276,12,Norse · Iceland,"The itemised parts list served Icelandic poets as a working reference for kennings, not only as narrative",EDITORIAL INTERPRETATION,—,—,—,MARKED IN TEXT — the story's comparative reading
C-277,12,Norse · Iceland,"The Norse flood is a flood of the victim's blood and the ark-survivor is the victim's kinsman, inverting the usual flood pattern",EDITORIAL INTERPRETATION,—,—,—,MARKED IN TEXT
C-278,12,Norse · Iceland,The final stage of the Norse creation is a timetable rather than a substance,EDITORIAL INTERPRETATION,—,—,—,MARKED IN TEXT
C-279,12,Norse · Iceland,"The gods in council resolved who should create the race of dwarfs from the sea-giant's blood and livid bones, making Móðsognir greatest and Durin second",PRIMARY SOURCE,HIGH,"Thorpe, Vǫluspá 9-10",Vǫluspá 9-10,
